studentID,firstName,lastName,gender,subject,score,timestamp,middleName
141,John,Doe,Male,English,3.5,1572678000000,kumar141
142,John,Doe,Male,History,3.2,1572854400000,kumar142
143,Nick,Young,Female,History,3.6,1572854400000,kumar143
144,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar144
145,Natalie,Jones,Female,History,3.5,1571900400000,kumar145
146,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar146
147,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar147
148,Jane,Doe,Female,Geography,3.8,1572505200000,kumar148
149,Jane,Doe,Female,English,3.5,1572505200000,kumar149
150,Jane,Doe,Female,Maths,3.2,1572678000000,kumar150
151,Jane,Doe,Female,Physics,3.6,1572678000000,kumar151
152,John,Doe,Male,Maths,3.8,1572678000000,kumar152
153,John,Doe,Male,English,3.5,1572678000000,kumar153
154,John,Doe,Male,History,3.2,1572854400000,kumar154
155,Nick,Young,Female,History,3.6,1572854400000,kumar155
156,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar156
157,Natalie,Jones,Female,History,3.5,1571900400000,kumar157
158,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar158
159,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar159
160,Jane,Doe,Female,Geography,3.8,1572505200000,kumar160
161,Jane,Doe,Female,English,3.5,1572505200000,kumar161
162,Jane,Doe,Female,Maths,3.2,1572678000000,kumar162
163,Jane,Doe,Female,Physics,3.6,1572678000000,kumar163
164,John,Doe,Male,Maths,3.8,1572678000000,kumar164
165,John,Doe,Male,English,3.5,1572678000000,kumar165
166,John,Doe,Male,History,3.2,1572854400000,kumar166
167,Nick,Young,Female,History,3.6,1572854400000,kumar167
168,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar168
169,Natalie,Jones,Female,History,3.5,1571900400000,kumar169
170,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar170
171,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar171
172,Jane,Doe,Female,Geography,3.8,1572505200000,kumar172
173,Jane,Doe,Female,English,3.5,1572505200000,kumar173
174,Jane,Doe,Female,Maths,3.2,1572678000000,kumar174
175,Jane,Doe,Female,Physics,3.6,1572678000000,kumar175
176,John,Doe,Male,Maths,3.8,1572678000000,kumar176
177,John,Doe,Male,English,3.5,1572678000000,kumar177
178,John,Doe,Male,History,3.2,1572854400000,kumar178
179,Nick,Young,Female,History,3.6,1572854400000,kumar179
180,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar180
181,Natalie,Jones,Female,History,3.5,1571900400000,kumar181
182,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar182
183,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar183
184,Jane,Doe,Female,Geography,3.8,1572505200000,kumar184
185,Jane,Doe,Female,English,3.5,1572505200000,kumar185
186,Jane,Doe,Female,Maths,3.2,1572678000000,kumar186
