studentID,firstName,lastName,gender,subject,score,timestamp,middleName
18,Jane,Doe,Female,Maths,3.2,1572678000000,kumar18
19,Jane,Doe,Female,Physics,3.6,1572678000000,kumar19
20,John,Doe,Male,Maths,3.8,1572678000000,kumar20
21,John,Doe,Male,English,3.5,1572678000000,kumar21
22,John,Doe,Male,History,3.2,1572854400000,kumar22
23,Nick,Young,Female,History,3.6,1572854400000,kumar23
24,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar24
25,Natalie,Jones,Female,History,3.5,1571900400000,kumar25
26,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar26
27,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar27
28,Jane,Doe,Female,Geography,3.8,1572505200000,kumar28
29,Jane,Doe,Female,English,3.5,1572505200000,kumar29
30,Jane,Doe,Female,Maths,3.2,1572678000000,kumar30
31,Jane,Doe,Female,Physics,3.6,1572678000000,kumar31
32,John,Doe,Male,Maths,3.8,1572678000000,kumar32
33,John,Doe,Male,English,3.5,1572678000000,kumar33
34,John,Doe,Male,History,3.2,1572854400000,kumar34
35,Nick,Young,Female,History,3.6,1572854400000,kumar35
36,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar36
37,Natalie,Jones,Female,History,3.5,1571900400000,kumar37
38,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar38
39,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar39
40,Jane,Doe,Female,Geography,3.8,1572505200000,kumar40
41,Jane,Doe,Female,English,3.5,1572505200000,kumar41
42,Jane,Doe,Female,Maths,3.2,1572678000000,kumar42
43,Jane,Doe,Female,Physics,3.6,1572678000000,kumar43
44,John,Doe,Male,Maths,3.8,1572678000000,kumar44
45,John,Doe,Male,English,3.5,1572678000000,kumar45
46,John,Doe,Male,History,3.2,1572854400000,kumar46
47,Nick,Young,Female,History,3.6,1572854400000,kumar47
48,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar48
49,Natalie,Jones,Female,History,3.5,1571900400000,kumar49
50,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar50
51,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar51
52,Jane,Doe,Female,Geography,3.8,1572505200000,kumar52
53,Jane,Doe,Female,English,3.5,1572505200000,kumar53
54,Jane,Doe,Female,Maths,3.2,1572678000000,kumar54
55,Jane,Doe,Female,Physics,3.6,1572678000000,kumar55
56,John,Doe,Male,Maths,3.8,1572678000000,kumar56
57,John,Doe,Male,English,3.5,1572678000000,kumar57
58,John,Doe,Male,History,3.2,1572854400000,kumar58
59,Nick,Young,Female,History,3.6,1572854400000,kumar59
60,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar60
61,Natalie,Jones,Female,History,3.5,1571900400000,kumar61
62,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar62
63,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar63
64,Jane,Doe,Female,Geography,3.8,1572505200000,kumar64
65,Jane,Doe,Female,English,3.5,1572505200000,kumar65
66,Jane,Doe,Female,Maths,3.2,1572678000000,kumar66
67,Jane,Doe,Female,Physics,3.6,1572678000000,kumar67
68,John,Doe,Male,Maths,3.8,1572678000000,kumar68
69,John,Doe,Male,English,3.5,1572678000000,kumar69
70,John,Doe,Male,History,3.2,1572854400000,kumar70
