studentID,firstName,lastName,gender,subject,score,timestamp,middleName
106,John,Doe,Male,History,3.2,1572854400000,kumar106
107,Nick,Young,Female,History,3.6,1572854400000,kumar107
108,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar108
109,Natalie,Jones,Female,History,3.5,1571900400000,kumar109
110,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar110
111,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar111
112,Jane,Doe,Female,Geography,3.8,1572505200000,kumar112
113,Jane,Doe,Female,English,3.5,1572505200000,kumar113
114,Jane,Doe,Female,Maths,3.2,1572678000000,kumar114
115,Jane,Doe,Female,Physics,3.6,1572678000000,kumar115
116,John,Doe,Male,Maths,3.8,1572678000000,kumar116
117,John,Doe,Male,English,3.5,1572678000000,kumar117
118,John,Doe,Male,History,3.2,1572854400000,kumar118
119,Nick,Young,Female,History,3.6,1572854400000,kumar119
120,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar120
121,Natalie,Jones,Female,History,3.5,1571900400000,kumar121
122,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar122
123,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar123
124,Jane,Doe,Female,Geography,3.8,1572505200000,kumar124
125,Jane,Doe,Female,English,3.5,1572505200000,kumar125
126,Jane,Doe,Female,Maths,3.2,1572678000000,kumar126
127,Jane,Doe,Female,Physics,3.6,1572678000000,kumar127
128,John,Doe,Male,Maths,3.8,1572678000000,kumar128
129,John,Doe,Male,English,3.5,1572678000000,kumar129
130,John,Doe,Male,History,3.2,1572854400000,kumar130
131,Nick,Young,Female,History,3.6,1572854400000,kumar131
132,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar132
133,Natalie,Jones,Female,History,3.5,1571900400000,kumar133
134,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar134
135,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar135
136,Jane,Doe,Female,Geography,3.8,1572505200000,kumar136
137,Jane,Doe,Female,English,3.5,1572505200000,kumar137
138,Jane,Doe,Female,Maths,3.2,1572678000000,kumar138
139,Jane,Doe,Female,Physics,3.6,1572678000000,kumar139
140,John,Doe,Male,Maths,3.8,1572678000000,kumar140
