studentID,firstName,lastName,middleName,gender,subject,score,timestamp
50000,Natalie,Jones,kumar50000,Female,Maths,3.8,1626931561990
50001,Natalie,Jones,kumar50001,Female,Maths,3.8,1626931561990
50002,Natalie,Jones,kumar50002,Female,Maths,3.8,1626931561990
50003,Natalie,Jones,kumar50003,Female,Maths,3.8,1626931561990
50004,Natalie,Jones,kumar50004,Female,Maths,3.8,1626931561990
50005,Natalie,Jones,kumar50005,Female,Maths,3.8,1626931561990
50006,Natalie,Jones,kumar50006,Female,Maths,3.8,1626931561990
50007,Natalie,Jones,kumar50007,Female,Maths,3.8,1626931561990
50008,Natalie,Jones,kumar50008,Female,Maths,3.8,1626931561990
50009,Natalie,Jones,kumar50009,Female,Maths,3.8,1626931561990
50010,Natalie,Jones,kumar50010,Female,Maths,3.8,1626931561990
50011,Natalie,Jones,kumar50011,Female,Maths,3.8,1626931561990
50012,Natalie,Jones,kumar50012,Female,Maths,3.8,1626931561990
50013,Natalie,Jones,kumar50013,Female,Maths,3.8,1626931561990
50014,Natalie,Jones,kumar50014,Female,Maths,3.8,1626931561990
50015,Natalie,Jones,kumar50015,Female,Maths,3.8,1626931561990
50016,Natalie,Jones,kumar50016,Female,Maths,3.8,1626931561990
50017,Natalie,Jones,kumar50017,Female,Maths,3.8,1626931561990
50018,Natalie,Jones,kumar50018,Female,Maths,3.8,1626931561990
50019,Natalie,Jones,kumar50019,Female,Maths,3.8,1626931561990
50020,Natalie,Jones,kumar50020,Female,Maths,3.8,1626931561990
50021,Natalie,Jones,kumar50021,Female,Maths,3.8,1626931561990
50022,Natalie,Jones,kumar50022,Female,Maths,3.8,1626931561990
50023,Natalie,Jones,kumar50023,Female,Maths,3.8,1626931561990
50024,Natalie,Jones,kumar50024,Female,Maths,3.8,1626931561990
50025,Natalie,Jones,kumar50025,Female,Maths,3.8,1626931561990
50026,Natalie,Jones,kumar50026,Female,Maths,3.8,1626931561990
50027,Natalie,Jones,kumar50027,Female,Maths,3.8,1626931561990
50028,Natalie,Jones,kumar50028,Female,Maths,3.8,1626931561990
50029,Natalie,Jones,kumar50029,Female,Maths,3.8,1626931561990
50030,Natalie,Jones,kumar50030,Female,Maths,3.8,1626931561990
50031,Natalie,Jones,kumar50031,Female,Maths,3.8,1626931561990
50032,Natalie,Jones,kumar50032,Female,Maths,3.8,1626931561990
50033,Natalie,Jones,kumar50033,Female,Maths,3.8,1626931561990
50034,Natalie,Jones,kumar50034,Female,Maths,3.8,1626931561990
50035,Natalie,Jones,kumar50035,Female,Maths,3.8,1626931561990
50036,Natalie,Jones,kumar50036,Female,Maths,3.8,1626931561990
50037,Natalie,Jones,kumar50037,Female,Maths,3.8,1626931561990
50038,Natalie,Jones,kumar50038,Female,Maths,3.8,1626931561990
50039,Natalie,Jones,kumar50039,Female,Maths,3.8,1626931561990
50040,Natalie,Jones,kumar50040,Female,Maths,3.8,1626931561990
50041,Natalie,Jones,kumar50041,Female,Maths,3.8,1626931561990
50042,Natalie,Jones,kumar50042,Female,Maths,3.8,1626931561990
50043,Natalie,Jones,kumar50043,Female,Maths,3.8,1626931561990
50044,Natalie,Jones,kumar50044,Female,Maths,3.8,1626931561990
50045,Natalie,Jones,kumar50045,Female,Maths,3.8,1626931561990
50046,Natalie,Jones,kumar50046,Female,Maths,3.8,1626931561990
