studentID,firstName,lastName,middleName,gender,subject,score,timestamp
40000,Natalie,Jones,kumar40000,Female,Maths,3.8,1627017944751
40001,Natalie,Jones,kumar40001,Female,Maths,3.8,1627017944751
40002,Natalie,Jones,kumar40002,Female,Maths,3.8,1627017944751
40003,Natalie,Jones,kumar40003,Female,Maths,3.8,1627017944751
40004,Natalie,Jones,kumar40004,Female,Maths,3.8,1627017944751
40005,Natalie,Jones,kumar40005,Female,Maths,3.8,1627017944751
40006,Natalie,Jones,kumar40006,Female,Maths,3.8,1627017944751
40007,Natalie,Jones,kumar40007,Female,Maths,3.8,1627017944751
40008,Natalie,Jones,kumar40008,Female,Maths,3.8,1627017944751
40009,Natalie,Jones,kumar40009,Female,Maths,3.8,1627017944751
40010,Natalie,Jones,kumar40010,Female,Maths,3.8,1627017944751
40011,Natalie,Jones,kumar40011,Female,Maths,3.8,1627017944751
40012,Natalie,Jones,kumar40012,Female,Maths,3.8,1627017944751
40013,Natalie,Jones,kumar40013,Female,Maths,3.8,1627017944751
40014,Natalie,Jones,kumar40014,Female,Maths,3.8,1627017944751
40015,Natalie,Jones,kumar40015,Female,Maths,3.8,1627017944751
40016,Natalie,Jones,kumar40016,Female,Maths,3.8,1627017944751
40017,Natalie,Jones,kumar40017,Female,Maths,3.8,1627017944751
40018,Natalie,Jones,kumar40018,Female,Maths,3.8,1627017944751
40019,Natalie,Jones,kumar40019,Female,Maths,3.8,1627017944751
40020,Natalie,Jones,kumar40020,Female,Maths,3.8,1627017944751
40021,Natalie,Jones,kumar40021,Female,Maths,3.8,1627017944751
40022,Natalie,Jones,kumar40022,Female,Maths,3.8,1627017944751
40023,Natalie,Jones,kumar40023,Female,Maths,3.8,1627017944751
40024,Natalie,Jones,kumar40024,Female,Maths,3.8,1627017944751
40025,Natalie,Jones,kumar40025,Female,Maths,3.8,1627017944751
40026,Natalie,Jones,kumar40026,Female,Maths,3.8,1627017944751
40027,Natalie,Jones,kumar40027,Female,Maths,3.8,1627017944751
40028,Natalie,Jones,kumar40028,Female,Maths,3.8,1627017944751
