18,Jane,Doe,3.2,Female,Maths,kumar18,1572678000000
19,Jane,Doe,3.6,Female,Physics,kumar19,1572678000000
20,John,Doe,3.8,Male,Maths,kumar20,1572678000000
21,John,Doe,3.5,Male,English,kumar21,1572678000000
22,John,Doe,3.2,Male,History,kumar22,1572854400000
23,Nick,Young,3.6,Female,History,kumar23,1572854400000
24,Natalie,Jones,3.8,Female,Maths,kumar24,1571900400000
25,Natalie,Jones,3.5,Female,History,kumar25,1571900400000
26,Bob,Lewis,3.2,Male,Maths,kumar26,1571900400000
27,Bob,Lewis,3.6,Male,Chemistry,kumar27,1572418800000
28,Jane,Doe,3.8,Female,Geography,kumar28,1572505200000
29,Jane,Doe,3.5,Female,English,kumar29,1572505200000
30,Jane,Doe,3.2,Female,Maths,kumar30,1572678000000
31,Jane,Doe,3.6,Female,Physics,kumar31,1572678000000
32,John,Doe,3.8,Male,Maths,kumar32,1572678000000
33,John,Doe,3.5,Male,English,kumar33,1572678000000
34,John,Doe,3.2,Male,History,kumar34,1572854400000
35,Nick,Young,3.6,Female,History,kumar35,1572854400000
36,Natalie,Jones,3.8,Female,Maths,kumar36,1571900400000
37,Natalie,Jones,3.5,Female,History,kumar37,1571900400000
38,Bob,Lewis,3.2,Male,Maths,kumar38,1571900400000
39,Bob,Lewis,3.6,Male,Chemistry,kumar39,1572418800000
40,Jane,Doe,3.8,Female,Geography,kumar40,1572505200000
41,Jane,Doe,3.5,Female,English,kumar41,1572505200000
42,Jane,Doe,3.2,Female,Maths,kumar42,1572678000000
43,Jane,Doe,3.6,Female,Physics,kumar43,1572678000000
44,John,Doe,3.8,Male,Maths,kumar44,1572678000000
45,John,Doe,3.5,Male,English,kumar45,1572678000000
46,John,Doe,3.2,Male,History,kumar46,1572854400000
47,Nick,Young,3.6,Female,History,kumar47,1572854400000
48,Natalie,Jones,3.8,Female,Maths,kumar48,1571900400000
49,Natalie,Jones,3.5,Female,History,kumar49,1571900400000
50,Bob,Lewis,3.2,Male,Maths,kumar50,1571900400000
51,Bob,Lewis,3.6,Male,Chemistry,kumar51,1572418800000
52,Jane,Doe,3.8,Female,Geography,kumar52,1572505200000
53,Jane,Doe,3.5,Female,English,kumar53,1572505200000
54,Jane,Doe,3.2,Female,Maths,kumar54,1572678000000
55,Jane,Doe,3.6,Female,Physics,kumar55,1572678000000
56,John,Doe,3.8,Male,Maths,kumar56,1572678000000
57,John,Doe,3.5,Male,English,kumar57,1572678000000
58,John,Doe,3.2,Male,History,kumar58,1572854400000
59,Nick,Young,3.6,Female,History,kumar59,1572854400000
60,Natalie,Jones,3.8,Female,Maths,kumar60,1571900400000
61,Natalie,Jones,3.5,Female,History,kumar61,1571900400000
62,Bob,Lewis,3.2,Male,Maths,kumar62,1571900400000
63,Bob,Lewis,3.6,Male,Chemistry,kumar63,1572418800000
64,Jane,Doe,3.8,Female,Geography,kumar64,1572505200000
65,Jane,Doe,3.5,Female,English,kumar65,1572505200000
66,Jane,Doe,3.2,Female,Maths,kumar66,1572678000000
67,Jane,Doe,3.6,Female,Physics,kumar67,1572678000000
68,John,Doe,3.8,Male,Maths,kumar68,1572678000000
69,John,Doe,3.5,Male,English,kumar69,1572678000000
70,John,Doe,3.2,Male,History,kumar70,1572854400000
