0,Natalie,Jones,3.8,Female,Maths,kumar0,1571900400000
1,Natalie,Jones,3.5,Female,History,kumar1,1571900400000
2,Bob,Lewis,3.2,Male,Maths,kumar2,1571900400000
3,Bob,Lewis,3.6,Male,Chemistry,kumar3,1572418800000
4,Jane,Doe,3.8,Female,Geography,kumar4,1572505200000
5,Jane,Doe,3.5,Female,English,kumar5,1572505200000
6,Jane,Doe,3.2,Female,Maths,kumar6,1572678000000
7,Jane,Doe,3.6,Female,Physics,kumar7,1572678000000
8,John,Doe,3.8,Male,Maths,kumar8,1572678000000
9,John,Doe,3.5,Male,English,kumar9,1572678000000
10,John,Doe,3.2,Male,History,kumar10,1572854400000
11,Nick,Young,3.6,Female,History,kumar11,1572854400000
12,Natalie,Jones,3.8,Female,Maths,kumar12,1571900400000
13,Natalie,Jones,3.5,Female,History,kumar13,1571900400000
14,Bob,Lewis,3.2,Male,Maths,kumar14,1571900400000
15,Bob,Lewis,3.6,Male,Chemistry,kumar15,1572418800000
16,Jane,Doe,3.8,Female,Geography,kumar16,1572505200000
17,Jane,Doe,3.5,Female,English,kumar17,1572505200000
